iter	Passed	Remaining
0	74	74060
1	74	37268
2	75	25028
3	75	18891
4	76	15202
5	76	12750
6	77	10995
7	78	9685
8	78	8662
9	79	7855
10	80	7194
11	80	6647
12	81	6172
13	81	5769
14	82	5417
15	83	5107
16	83	4836
17	84	4593
18	84	4373
19	85	4176
20	85	4001
21	86	3843
22	87	3700
23	87	3564
24	88	3444
25	88	3328
26	89	3220
27	89	3121
28	90	3028
29	91	2942
30	91	2864
31	92	2788
32	92	2721
33	93	2659
34	94	2600
35	94	2543
36	95	2489
37	96	2440
38	97	2390
39	97	2345
40	98	2299
41	98	2256
42	99	2214
43	100	2175
44	100	2142
45	101	2107
46	102	2074
47	102	2042
48	103	2010
49	104	1978
50	104	1949
51	105	1918
52	105	1890
53	106	1864
54	106	1837
55	107	1812
56	108	1788
57	108	1765
58	109	1742
59	109	1720
60	110	1699
61	110	1678
62	111	1658
63	112	1638
64	112	1619
65	113	1601
66	113	1583
67	114	1566
68	114	1549
69	115	1533
70	116	1517
71	116	1501
72	117	1487
73	117	1473
74	118	1459
75	118	1444
76	119	1430
77	119	1417
78	120	1404
79	120	1391
80	121	1378
81	122	1367
82	122	1355
83	123	1344
84	123	1334
85	124	1323
86	125	1312
87	125	1301
88	125	1289
89	126	1279
90	127	1269
91	127	1259
92	128	1250
93	128	1240
94	129	1231
95	129	1222
96	130	1212
97	130	1202
98	131	1194
99	131	1187
100	132	1179
101	133	1171
102	133	1163
103	134	1155
104	134	1146
105	135	1138
106	135	1131
107	136	1125
108	136	1118
109	137	1110
110	137	1104
111	138	1098
112	139	1091
113	139	1084
114	140	1078
115	140	1072
116	141	1066
117	141	1059
118	142	1053
119	142	1047
120	143	1041
121	143	1036
122	144	1031
123	145	1025
124	145	1020
125	146	1014
126	146	1009
127	147	1004
128	148	999
129	148	994
130	148	987
131	149	982
132	149	977
133	150	972
134	151	967
135	151	962
136	152	957
137	152	952
138	153	948
139	153	944
140	154	939
141	154	935
142	155	930
143	155	926
144	156	922
145	156	916
146	157	912
147	157	908
148	158	905
149	159	902
150	159	898
151	160	894
152	160	890
153	161	886
154	161	882
155	162	879
156	163	875
157	163	871
158	164	867
159	164	864
160	165	860
161	165	856
162	166	853
163	166	850
164	167	847
165	167	843
166	168	841
167	169	838
168	169	834
169	170	831
170	170	827
171	171	824
172	171	820
173	172	817
174	172	814
175	173	811
176	173	807
177	174	804
178	174	801
179	175	798
180	175	795
181	176	793
182	176	790
183	177	787
184	178	784
185	178	782
186	179	779
187	179	776
188	180	773
189	180	770
190	181	768
191	182	766
192	182	763
193	183	761
194	183	759
195	184	755
196	184	753
197	185	750
198	185	748
199	186	746
200	187	743
201	187	741
202	188	738
203	188	736
204	189	734
205	190	732
206	190	730
207	191	728
208	191	725
209	192	723
210	193	721
211	193	719
212	194	717
213	194	714
214	195	712
215	195	710
216	196	708
217	196	706
218	197	703
219	197	701
220	198	699
221	199	697
222	199	695
223	200	693
224	200	692
225	201	690
226	202	687
227	202	685
228	203	684
229	203	682
230	204	680
231	204	678
232	205	676
233	206	674
234	206	672
235	207	671
236	208	670
237	208	668
238	209	666
239	209	664
240	210	662
241	211	660
242	211	659
243	212	657
244	212	655
245	213	653
246	213	652
247	214	650
248	215	648
249	215	646
250	216	644
251	216	643
252	217	641
253	217	640
254	218	638
255	218	636
256	219	634
257	219	632
258	220	630
259	221	629
260	221	628
261	222	627
262	223	627
263	224	626
264	225	624
265	225	623
266	226	621
267	226	619
268	227	618
269	228	616
270	228	615
271	229	614
272	229	612
273	230	610
274	231	609
275	231	608
276	232	606
277	232	604
278	233	603
279	233	601
280	234	600
281	235	598
282	235	597
283	236	596
284	237	594
285	237	593
286	238	591
287	238	590
288	239	588
289	239	587
290	240	586
291	241	584
292	241	583
293	242	581
294	242	580
295	243	579
296	244	577
297	244	576
298	245	575
299	246	574
300	246	572
301	247	571
302	247	570
303	248	568
304	249	567
305	249	566
306	250	564
307	250	563
308	251	562
309	252	561
310	252	559
311	253	558
312	254	557
313	254	556
314	255	555
315	255	553
316	256	552
317	257	551
318	257	550
319	258	548
320	258	547
321	259	546
322	260	544
323	260	543
324	261	542
325	261	541
326	262	539
327	262	538
328	263	537
329	263	535
330	264	534
331	265	533
332	265	532
333	266	531
334	266	529
335	267	529
336	268	527
337	269	526
338	269	525
339	270	524
340	270	523
341	271	522
342	272	521
343	272	520
344	273	519
345	274	518
346	274	517
347	275	516
348	276	514
349	276	513
350	277	512
351	277	510
352	278	509
353	278	508
354	279	507
355	279	505
356	280	504
357	280	503
358	281	502
359	282	501
360	283	501
361	283	500
362	284	499
363	285	498
364	285	496
365	286	495
366	286	494
367	287	493
368	287	492
369	288	491
370	289	490
371	289	489
372	290	488
373	291	487
374	291	486
375	292	485
376	292	483
377	293	482
378	294	482
379	294	481
380	295	479
381	296	478
382	296	477
383	297	477
384	298	476
385	298	475
386	299	474
387	299	472
388	300	471
389	301	470
390	301	469
391	302	468
392	302	467
393	303	466
394	304	466
395	304	465
396	305	464
397	306	463
398	306	462
399	307	461
400	307	460
401	308	459
402	309	457
403	309	456
404	310	455
405	310	454
406	311	453
407	312	452
408	312	452
409	313	451
410	313	449
411	314	448
412	315	447
413	315	446
414	316	445
415	316	444
416	317	443
417	318	442
418	318	441
419	319	441
420	320	440
421	320	439
422	321	438
423	321	437
424	322	436
425	322	435
426	323	434
427	324	433
428	324	431
429	325	431
430	326	430
431	326	429
432	327	428
433	328	427
434	328	426
435	329	425
436	329	424
437	330	423
438	330	422
439	331	421
440	331	420
441	332	419
442	333	418
443	333	418
444	334	417
445	335	416
446	335	415
447	336	414
448	336	413
449	337	412
450	338	411
451	338	410
452	339	409
453	339	408
454	340	407
455	340	406
456	341	405
457	342	404
458	342	404
459	343	403
460	343	402
461	344	401
462	345	400
463	345	399
464	346	398
465	346	397
466	347	396
467	347	395
468	348	394
469	349	393
470	349	392
471	350	391
472	350	390
473	351	389
474	351	388
475	352	387
476	352	387
477	353	386
478	354	385
479	354	384
480	355	383
481	355	382
482	356	381
483	357	380
484	357	379
485	358	379
486	359	378
487	359	377
488	360	376
489	360	375
490	361	374
491	362	373
492	362	373
493	363	372
494	364	371
495	364	370
496	365	370
497	366	369
498	366	368
499	367	367
500	368	366
501	368	365
502	369	364
503	369	363
504	370	362
505	370	362
506	371	361
507	372	360
508	372	359
509	373	358
510	373	357
511	374	357
512	375	356
513	375	355
514	376	354
515	376	353
516	377	352
517	377	351
518	378	350
519	379	349
520	379	349
521	380	348
522	380	347
523	381	346
524	381	345
525	382	344
526	382	343
527	383	342
528	383	341
529	384	340
530	385	340
531	385	339
532	386	338
533	386	337
534	387	336
535	388	336
536	388	335
537	389	334
538	389	333
539	390	332
540	390	331
541	391	330
542	391	329
543	392	329
544	393	328
545	393	327
546	394	326
547	394	325
548	395	324
549	395	323
550	396	322
551	396	322
552	397	321
553	398	320
554	398	319
555	399	318
556	399	318
557	400	317
558	400	316
559	401	315
560	402	314
561	402	313
562	403	312
563	403	312
564	404	311
565	404	310
566	405	309
567	405	308
568	406	307
569	407	307
570	407	306
571	408	305
572	408	304
573	409	303
574	409	302
575	410	301
576	410	301
577	411	300
578	411	299
579	412	298
580	412	297
581	413	296
582	414	296
583	414	295
584	415	294
585	415	293
586	416	293
587	417	292
588	417	291
589	418	290
590	418	289
591	419	289
592	420	288
593	420	287
594	421	286
595	422	286
596	422	285
597	424	285
598	425	285
599	426	284
600	427	283
601	427	282
602	428	281
603	428	281
604	429	280
605	430	279
606	430	278
607	431	278
608	432	277
609	434	277
610	436	277
611	437	277
612	438	276
613	439	276
614	440	275
615	442	275
616	442	274
617	443	274
618	444	273
619	444	272
620	445	271
621	445	271
622	446	270
623	447	269
624	447	268
625	448	267
626	449	267
627	449	266
628	450	265
629	451	264
630	451	264
631	452	263
632	452	262
633	453	261
634	453	260
635	454	260
636	455	259
637	455	258
638	456	257
639	457	257
640	457	256
641	458	255
642	458	254
643	459	253
644	460	253
645	460	252
646	461	251
647	461	250
648	462	250
649	462	249
650	463	248
651	464	247
652	464	247
653	465	246
654	466	245
655	466	244
656	467	243
657	467	243
658	468	242
659	468	241
660	469	240
661	470	240
662	470	239
663	471	238
664	471	237
665	472	236
666	472	236
667	473	235
668	474	234
669	474	233
670	475	233
671	475	232
672	476	231
673	476	230
674	477	229
675	478	229
676	478	228
677	479	227
678	479	226
679	480	226
680	481	225
681	481	224
682	482	223
683	482	222
684	483	222
685	483	221
686	484	220
687	485	220
688	485	219
689	486	218
690	487	217
691	487	217
692	488	216
693	488	215
694	489	214
695	490	214
696	490	213
697	491	212
698	492	211
699	493	211
700	493	210
701	494	209
702	495	209
703	496	208
704	497	208
705	498	207
706	500	207
707	501	206
708	502	206
709	503	205
710	504	205
711	505	204
712	506	204
713	508	203
714	509	203
715	510	202
716	513	202
717	514	202
718	515	201
719	517	201
720	518	200
721	519	200
722	520	199
723	522	199
724	523	198
725	524	197
726	525	197
727	526	196
728	527	196
729	528	195
730	529	194
731	530	194
732	531	193
733	532	192
734	533	192
735	534	191
736	535	191
737	536	190
738	537	189
739	538	189
740	539	188
741	540	187
742	540	187
743	541	186
744	542	185
745	543	185
746	544	184
747	545	183
748	546	183
749	547	182
750	548	181
751	549	181
752	550	180
753	551	179
754	552	179
755	553	178
756	553	177
757	554	177
758	555	176
759	556	175
760	557	174
761	557	174
762	558	173
763	558	172
764	559	171
765	560	171
766	560	170
767	561	169
768	562	168
769	562	168
770	563	167
771	564	166
772	564	165
773	565	165
774	566	164
775	566	163
776	567	162
777	568	162
778	568	161
779	569	160
780	569	159
781	570	159
782	571	158
783	571	157
784	572	156
785	573	156
786	573	155
787	574	154
788	575	153
789	575	152
790	576	152
791	576	151
792	577	150
793	578	149
794	578	149
795	579	148
796	579	147
797	580	146
798	580	146
799	581	145
800	582	144
801	582	143
802	583	143
803	583	142
804	584	141
805	584	140
806	585	140
807	586	139
808	586	138
809	587	137
810	587	136
811	588	136
812	588	135
813	589	134
814	590	133
815	590	133
816	591	132
817	591	131
818	592	130
819	593	130
820	593	129
821	594	128
822	595	128
823	595	127
824	596	126
825	596	125
826	597	125
827	598	124
828	598	123
829	599	122
830	599	122
831	600	121
832	601	120
833	601	119
834	602	119
835	603	118
836	603	117
837	604	116
838	604	116
839	605	115
840	605	114
841	606	113
842	606	113
843	607	112
844	608	111
845	608	110
846	609	110
847	610	109
848	610	108
849	611	107
850	611	107
851	612	106
852	613	105
853	613	104
854	614	104
855	614	103
856	615	102
857	616	101
858	616	101
859	617	100
860	618	99
861	618	99
862	619	98
863	619	97
864	620	96
865	621	96
866	621	95
867	622	94
868	622	93
869	623	93
870	624	92
871	624	91
872	625	90
873	626	90
874	626	89
875	627	88
876	627	88
877	628	87
878	628	86
879	629	85
880	630	85
881	630	84
882	631	83
883	632	82
884	632	82
885	633	81
886	633	80
887	634	80
888	635	79
889	635	78
890	636	77
891	636	77
892	637	76
893	637	75
894	638	74
895	639	74
896	639	73
897	640	72
898	640	72
899	641	71
900	642	70
901	642	69
902	643	69
903	643	68
904	644	67
905	644	66
906	645	66
907	646	65
908	646	64
909	647	64
910	648	63
911	648	62
912	649	61
913	649	61
914	650	60
915	651	59
916	651	59
917	652	58
918	653	57
919	653	56
920	654	56
921	654	55
922	655	54
923	656	53
924	656	53
925	657	52
926	657	51
927	658	51
928	658	50
929	659	49
930	659	48
931	660	48
932	661	47
933	661	46
934	662	46
935	662	45
936	663	44
937	664	43
938	664	43
939	665	42
940	665	41
941	666	41
942	666	40
943	667	39
944	668	38
945	668	38
946	669	37
947	669	36
948	670	36
949	671	35
950	671	34
951	672	33
952	672	33
953	673	32
954	673	31
955	674	31
956	674	30
957	675	29
958	676	28
959	677	28
960	677	27
961	678	26
962	678	26
963	679	25
964	679	24
965	680	23
966	680	23
967	681	22
968	682	21
969	682	21
970	683	20
971	683	19
972	684	18
973	685	18
974	685	17
975	686	16
976	686	16
977	687	15
978	687	14
979	688	14
980	688	13
981	689	12
982	690	11
983	690	11
984	691	10
985	691	9
986	692	9
987	693	8
988	693	7
989	694	7
990	694	6
991	695	5
992	695	4
993	696	4
994	696	3
995	697	2
996	698	2
997	698	1
998	699	0
999	699	0
